s_bene,genere,nome_regione,nome_provincia,nome_comune,categoria,sottocategoria,provvedimento,quota_confiscata,ufficio_giudiziario,distretto,tipologia_procedura
I-AG-37856-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38036-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38037-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38038-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38039-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38040-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38041-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38042-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38043-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38044-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38045-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38046-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-38047-S,immobili,Sicilia,Agrigento,Agrigento,Terreno,Terreno - non definito,Confisca def.,60%,Tribunale,Agrigento,Misure di Prevenzione
